date,reporting_area,state_code,OZONE,PM2.5
2023-06-01,Northeast Urban,NJ,80.0,64.0
2023-06-02,Northeast Urban,NJ,126.0,71.0
2023-06-03,Northeast Urban,NJ,26.0,59.0
2023-06-04,Northeast Urban,NJ,31.0,22.0
2023-06-05,Northeast Urban,NJ,36.0,55.0
2023-06-06,Northeast Urban,NJ,48.0,146.0
2023-06-07,Northeast Urban,NJ,36.0,228.0
2023-06-08,Northeast Urban,NJ,37.0,177.0
2023-06-09,Northeast Urban,NJ,29.0,58.0
2023-06-10,Northeast Urban,NJ,33.0,60.0
2023-06-11,Northeast Urban,NJ,80.0,90.0
2023-06-12,Northeast Urban,NJ,46.0,78.0
2023-06-13,Northeast Urban,NJ,50.0,59.0
2023-06-14,Northeast Urban,NJ,44.0,57.0
